Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
Pakistan,< 20,1,Student,Student / Unemployed,,,,,0
United Kingdom,,,,,,,,,0
Algeria,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I love it,A home office,15
United States,30-34,1,Manager of Developers or Team Leader,"$120,000 - $140,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,36
Germany,40-50,1,Manager of Developers or Team Leader,,Consulting,Occasionally,I'm neutral about it,A home office,0
Sweden,40-50,1,Back-End Web Developer,,Consulting,Full-time Remote,I love it,A home office,43
United States,35-39,1,Desktop Software Developer,"$40,000 - $60,000",Government,Never,,,44
United Kingdom,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Finance / Banking,Never,,,0
Poland,< 20,1,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",A home office,47
India,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Never,,,28
United States,25-29,0,Desktop Software Developer,"$100,000 - $120,000",Government,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,0
France,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Finance / Banking,Never,,,44
United States,20-24,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,65
United Kingdom,35-39,1,Front-End Web Developer,"$100,000 - $120,000",Advertising,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,52
United States,35-39,1,"Executive (VP of Eng, CTO, CIO, etc.)",">$140,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,26
United Kingdom,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Finance / Banking,Occasionally,I'm neutral about it,My couch,40
Brazil,< 20,1,Desktop Software Developer,Student / Unemployed,Not Currently Employed,Occasionally,I love it,A home office,0
United States,20-24,1,Mobile Application Developer,"$20,000 - $40,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,95
Russia,20-24,1,Student,,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,0
France,20-24,1,Mobile Application Developer,Student / Unemployed,Student,Full-time Remote,,,29
Ukraine,,,,,,,,,0
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,54
United States,20-24,1,Full-Stack Web Developer,Rather not say,Consulting,Occasionally,I'm neutral about it,A home office,42
Russia,35-39,1,Full-Stack Web Developer,Rather not say,Web Services,Full-time Remote,I love it,A home office,60
Israel,25-29,1,Back-End Web Developer,"$120,000 - $140,000",Software Products,Part-time Remote,I love it,A home office,0
Canada,20-24,1,Front-End Web Developer,Rather not say,Consulting,Full-time Remote,I'm neutral about it,A coffee shop,60
Germany,20-24,1,Student,,Student,Never,,,82
Iran,20-24,1,Student,Student / Unemployed,Student,Never,,,0
India,20-24,1,Student,Student / Unemployed,Student,Part-time Remote,I love it,A home office,0
Germany,,,,,,,,,0
Australia,25-29,1,Full-Stack Web Developer,Student / Unemployed,Consulting,Never,,,64
United Kingdom,35-39,1,Front-End Web Developer,"$40,000 - $60,000",Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,66
United States,20-24,1,Full-Stack Web Developer,"$120,000 - $140,000",Consulting,Never,,,110
Spain,35-39,1,Mobile Application Developer,Rather not say,Not Currently Employed,Full-time Remote,I love it,A home office,35
United Kingdom,35-39,1,Back-End Web Developer,"$80,000 - $100,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,50
Norway,30-34,1,Manager of Developers or Team Leader,,Advertising,Never,,,32
Sweden,< 20,NA,Student,Student / Unemployed,Gaming,Full-time Remote,I love it,A home office,41
United States,35-39,1,Full-Stack Web Developer,"$120,000 - $140,000",Retail,Part-time Remote,I love it,A co-working space,28
United States,25-29,1,Full-Stack Web Developer,"$100,000 - $120,000",Foundation / Non-Profit,Part-time Remote,I love it,A home office,36
United Kingdom,25-29,1,Embedded Application Developer,"$80,000 - $100,000",Finance / Banking,Part-time Remote,I love it,A home office,105
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,45
Bangladesh,30-34,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,Other,15
India,25-29,1,Student,Student / Unemployed,Student,Part-time Remote,I love it,A home office,90
United Kingdom,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Gaming,Occasionally,I'm neutral about it,My couch,41
Israel,40-50,1,Enterprise Level Services,,Finance / Banking,Never,,,60
Sweden,30-34,1,Desktop Software Developer,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,34
Germany,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,76
India,30-34,1,Mobile Application Developer,"<$20,000",Education,Occasionally,I'm neutral about it,My couch,62
United Kingdom,20-24,1,Other,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,36
South Africa,< 20,1,Other,,Not Currently Employed,Never,,,8
Poland,20-24,1,IT Staff / System Administrator,"<$20,000",Retail,Never,,,18
United States,30-34,1,Other,Rather not say,Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,51
Turkey,20-24,1,Student,Student / Unemployed,Student,Never,,,5
Canada,40-50,1,Other,Rather not say,Not Currently Employed,Occasionally,I'm neutral about it,Other,54
United States,< 20,NA,Front-End Web Developer,Rather not say,Web Services,Occasionally,I'm neutral about it,My couch,28
Sri Lanka,25-29,1,Back-End Web Developer,Rather not say,Software Products,Never,,,0
Germany,20-24,1,Mobile Application Developer,"$40,000 - $60,000",Software Products,Never,,,51
Armenia,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,My couch,51
Belgium,30-34,1,Full-Stack Web Developer,Rather not say,Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,41
United Kingdom,20-24,NA,Other,Student / Unemployed,Not Currently Employed,Never,,,0
United States,40-50,1,Manager of Developers or Team Leader,">$140,000",Web Services,Never,,,24
United States,< 20,1,Mobile Application Developer,Student / Unemployed,Student,Occasionally,I'm neutral about it,A coffee shop,38
India,25-29,1,Student,Rather not say,Student,Never,,,54
United Kingdom,20-24,1,Mobile Application Developer,Rather not say,Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,46
Poland,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,39
South Africa,20-24,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,0
Germany,25-29,1,Back-End Web Developer,,Software Products,Never,,,43
Netherlands,30-34,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Other,Full-time Remote,I'm neutral about it,A home office,0
United States,35-39,1,Full-Stack Web Developer,"$120,000 - $140,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,49
France,20-24,1,Full-Stack Web Developer,Student / Unemployed,Student,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
United Kingdom,20-24,1,Other,Rather not say,Gaming,Occasionally,I'm neutral about it,A home office,34
Canada,51-60,1,Other,"$100,000 - $120,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,39
Czech Republic,25-29,1,Front-End Web Developer,Rather not say,Web Services,Full-time Remote,I love it,My couch,59
Canada,40-50,1,Enterprise Level Services,Rather not say,Other,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,82
United Kingdom,25-29,1,I don't work in tech,"$20,000 - $40,000",Other,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,49
India,< 20,1,Full-Stack Web Developer,"<$20,000",Web Services,Part-time Remote,I love it,My couch,92
United Arab Emirates,< 20,1,Student,Student / Unemployed,,,,,0
United Kingdom,25-29,1,Embedded Application Developer,"$60,000 - $80,000",Other,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,42
Colombia,35-39,1,Desktop Software Developer,"$20,000 - $40,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,Other,33
United Kingdom,40-50,1,Manager of Developers or Team Leader,,Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,50
Czech Republic,20-24,1,Student,Student / Unemployed,Student,Never,,,0
Germany,30-34,1,Front-End Web Developer,"$40,000 - $60,000",Retail,Never,,,0
Brazil,30-34,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Consulting,Occasionally,I love it,A home office,47
United States,20-24,1,Full-Stack Web Developer,Rather not say,Other,Full-time Remote,I love it,A home office,64
Colombia,30-34,1,Back-End Web Developer,"<$20,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,73
Belgium,30-34,1,IT Staff / System Administrator,"$40,000 - $60,000",Education,Occasionally,I'm neutral about it,My couch,58
Israel,35-39,1,Embedded Application Developer,"$60,000 - $80,000",Other,Never,,,44
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Italy,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Never,,,38
Germany,< 20,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,51
United Kingdom,35-39,1,Other,Rather not say,Not Currently Employed,Occasionally,I love it,A home office,41
Turkey,25-29,1,Full-Stack Web Developer,Rather not say,Not Currently Employed,Occasionally,I'm neutral about it,My couch,79
Germany,,,,,,,,,0
China,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,64
Australia,20-24,1,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",My couch,62
Bangladesh,20-24,1,Front-End Web Developer,Rather not say,,,,,0
Germany,25-29,NA,Student,Rather not say,,,,,0
United Kingdom,35-39,1,I don't work in tech,"$20,000 - $40,000",Healthcare,Never,,,0
France,< 20,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,0
Israel,30-34,1,Manager of Developers or Team Leader,"$60,000 - $80,000",Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,70
India,20-24,NA,Front-End Web Developer,Rather not say,Other,Never,,,66
Germany,25-29,1,Student,Student / Unemployed,Healthcare,Never,,,0
India,20-24,1,Enterprise Level Services,"<$20,000",Software Products,Never,,,54
United Kingdom,30-34,0,Desktop Software Developer,Rather not say,Other,Never,,,44
United Kingdom,30-34,1,Other,"$60,000 - $80,000",Software Products,Never,,,22
Sweden,35-39,1,Full-Stack Web Developer,Rather not say,Web Services,Occasionally,I love it,A home office,0
Jordan,25-29,1,Enterprise Level Services,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,45
Israel,35-39,NA,Other,Rather not say,Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",My couch,54
Thailand,< 20,1,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",A home office,64
Israel,35-39,1,Full-Stack Web Developer,"$60,000 - $80,000",Education,Occasionally,"I like it, though I like visiting the office occasionally",A home office,82
India,35-39,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,115
Israel,30-34,1,Back-End Web Developer,,,,,,0
Slovenia,< 20,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,My couch,0
Netherlands,25-29,1,Student,Student / Unemployed,Student,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
France,30-34,1,Desktop Software Developer,Rather not say,Healthcare,Occasionally,I love it,My couch,54
Ireland,< 20,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Full-time Remote,I'm neutral about it,My couch,36
Russia,25-29,1,Desktop Software Developer,,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,16
Poland,20-24,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,56
Israel,,,,,,,,,0
Italy,25-29,1,Manager of Developers or Team Leader,"<$20,000",Web Services,Full-time Remote,I love it,A home office,60
United Kingdom,35-39,1,Full-Stack Web Developer,"$80,000 - $100,000",Other,Full-time Remote,I love it,A home office,29
